region,sector,total_final_demand
3.7694e-05,4.2741e-08,5183.043736302624
1.2395e-05,1.5586e-08,178.06555283096006
7.2181e-06,9.2967e-09,1517.8810206060355
6.3104e-06,8.1064e-09,1187.7025124575034
6.9414e-06,9.1207e-09,2202.3034129598063
0.00013691,3.3002e-05,64257.30308911465
0.026838,1.2221e-05,34751.16564883007
0.00055759,0.0128,122395.08651176417
0.00071539,2.6688e-05,5656.796998582954
6.6825e-06,1.0667e-06,12576.443913994292
0.02317,3.5522e-06,85405.78217406296
0.0005115,8.3387e-05,24006.05786366719
0.0061926,0.00165,37035.24152759592
3.1551e-05,1.9362e-05,31778.255840396785
5.3439e-06,1.859e-05,78170.8487855358
7.4357e-07,1.7121e-06,-705.8234367717182
5.6278e-07,3.5067e-07,221464.46489395815
6.6149e-06,7.0498e-06,8332.939002818659
5.2244e-05,4.4574e-06,729958.5759775355
4.7489e-05,5.2381e-06,756450.6594300821
9.9025e-07,1.9704e-05,171304.8695647852
3.6566e-06,3.6944e-05,49460.03522596102
2.9464e-06,2.0222e-05,5239.189223369877
5.4319e-06,1.834e-05,20965.920332442067
1.3925e-06,1.6082e-05,18425.35181873116
1.9101e-06,1.5066e-05,20077.96568018821
2.0078e-07,1.1185e-05,2147.142004629755
2.4409e-05,1.9996e-06,1160.7588341571202
7.1227e-07,1.2987e-05,189839.71659070696
5.0935e-07,3.9606e-06,323340.7827722201
2.6274e-05,4.3927e-06,141021.21892019387
1.7742e-06,5.2004e-06,209627.40717438556
2.8663e-06,3.5192e-06,175558.88764700416
7.5248e-05,2.4019e-05,1269997.6600939843
4.8426e-07,9.1712e-06,43449.46370726278
9.2685e-07,1.0439e-06,342071.9001263368
1.2524e-06,9.6653e-06,1174931.0752741252
1.4675e-06,1.4084e-06,988883.2108860877
5.0841e-07,2.2887e-07,1422868.943200811
3.9283e-07,5.7644e-07,282695.3077660862
4.2253e-07,0.00024722,149016.20398811714
5.8799e-06,1.4553e-07,9216.41185765755
2.2375e-06,1.0823e-05,30066.82604619982
2.5762e-06,0.0097771,6195.8209241466475
1.9521e-06,0.0078383,262325.1778231389
0.00078187,0.044748,45685.465008577245
1.1142e-05,0.3006,2063920.8021138636
6.7268e-07,8.8286e-08,878.3587053052541
5.2325e-06,0.13751,68161.36688668096
1.1665e-05,5.6324e-05,414918.14937168814
1.7839e-06,0.01372,2733.0825601084744
2.1057e-06,0.00026438,2998.6229663150993
3.531e-07,0.01287,6622.862926290806
1.268e-05,6.7804e-05,78501.32214552398
5.4697e-05,0.058387,32301.690794110127
1.2928e-05,5.9715e-07,4763.985025164265
5.7411e-06,0.32022,42120.31060110034
2.0633e-06,1.8928e-07,3095.4028646185684
1.6408e-06,4.6161e-07,2436.674499043084
4.2021e-06,0.010535,6852.2530861144405
2.4086e-06,0.0030482,64943.58042330149
7.2225e-07,1.0988e-05,3255246.348837532
2.7759e-06,7.8152e-05,109782.00545020563
4.6682e-05,0.00011016,65224.492595948606
0.0059247,1.1189,69825.70802889363
2.4016e-05,2.5716e-06,63479.70746870616
0.00051717,0.0044008,103026.72584070769
8.3446e-06,1.3145e-06,93372.93010221861
0.00010578,7.9659e-07,1993.6568053457763
6.588e-06,6.8491e-08,29.253495168282537
1.8125e-05,5.0248e-08,767.4781314385324
2.677e-05,1.9803e-07,441.14985200082964
6.0974e-06,1.5026e-08,536.4785411384823
5.9571e-05,3.3959e-07,952.5898063942599
8.2739e-06,5.4433e-08,59.887824505602964
8.1244e-06,5.4167e-08,57.3307253742027
7.9432e-05,6.3403e-07,30347.962207273704
7.6873e-06,3.6494e-08,55.95426641118548
2.5346e-05,1.8351e-08,338.217354834195
3.395e-05,1.5494e-05,3175.596869558446
0.014444,7.4528e-07,39869.27772477974
8.1338e-07,0.0012388,2058.6302155573135
8.8738e-07,4.0667e-08,2115.0316570219625
1.436e-06,0.0034854,1970.2260744969644
6.3322e-07,0.00063121,2651.9740724697176
